strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model,seed,task,eval_trial,bpm,source
0,1.509998798370361,1.5749987363815308,64.99993801116966,29.01493263244629,False,A,1,double_160bpm,0,160.0,sim
1,1.6099987030029297,1.614998698234558,4.999995231628418,16.891023635864258,True,A,1,double_160bpm,0,160.0,sim
2,1.889998435974121,1.9549983739852903,64.9999380111692,11.219252586364746,False,A,1,double_160bpm,0,160.0,sim
3,1.969998359680176,1.984998345375061,14.999985694885032,25.83804702758789,True,A,1,double_160bpm,0,160.0,sim
4,2.2500040531158447,,,0.0,False,A,1,double_160bpm,0,160.0,sim
5,2.350006341934204,2.36000657081604,10.000228881835938,16.866100311279297,True,A,1,double_160bpm,0,160.0,sim
6,2.6300127506256104,,,0.0,False,A,1,double_160bpm,0,160.0,sim
7,2.7300150394439697,2.690014123916626,-40.00091552734375,16.423267364501953,False,A,1,double_160bpm,0,160.0,sim
8,3.010021448135376,3.070022821426392,60.001373291016066,16.29267692565918,False,A,1,double_160bpm,0,160.0,sim
9,3.110023736953736,3.1150238513946533,5.000114440917525,15.535505294799805,True,A,1,double_160bpm,0,160.0,sim
10,3.3900301456451416,3.4300310611724854,40.00091552734375,11.37088680267334,False,A,1,double_160bpm,0,160.0,sim
11,3.470031976699829,3.470031976699829,0.0,16.932647705078125,True,A,1,double_160bpm,0,160.0,sim
12,3.7700388431549072,,,0.0,False,A,1,double_160bpm,0,160.0,sim
13,3.8500406742095943,3.8500406742095943,0.0,17.42448616027832,True,A,1,double_160bpm,0,160.0,sim
14,4.130046844482422,,,0.0,False,A,1,double_160bpm,0,160.0,sim
15,4.230049133300781,4.1900482177734375,-40.00091552734375,16.50834083557129,False,A,1,double_160bpm,0,160.0,sim
16,4.510055541992188,4.570056915283203,60.00137329101474,16.35634994506836,False,A,1,double_160bpm,0,160.0,sim
17,4.610057830810547,4.625058174133301,15.000343322753906,23.48197364807129,True,A,1,double_160bpm,0,160.0,sim
18,4.890064239501953,,,0.0,False,A,1,double_160bpm,0,160.0,sim
19,4.970066070556641,4.960065841674805,-10.000228881835938,9.48161506652832,True,A,1,double_160bpm,0,160.0,sim
20,5.250072479248047,,,0.0,False,A,1,double_160bpm,0,160.0,sim
21,5.350074768066406,5.370075225830078,20.000457763671875,26.25410461425781,True,A,1,double_160bpm,0,160.0,sim
22,5.6300811767578125,5.690082550048828,60.001373291015625,16.488645553588867,False,A,1,double_160bpm,0,160.0,sim
23,5.730083465576172,5.730083465576172,0.0,16.62188720703125,True,A,1,double_160bpm,0,160.0,sim
